,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49
sensor_01,1.0,0.8901286298625619,0.9495510731989878,0.5430164549094483,0.5907751913821548,0.5670423972653611,0.5723806329530163,0.28371248001671945,0.6305287720378264,0.527229248335982,0.5747252289487362,0.5394687677884807,0.4269799883413272,-0.20347051755148798,-0.318370305140488,-0.2589183252386418,-0.26487059222463283,-0.47312975004991004,-0.46942579789479344,-0.4855401237453467,-0.17211251913448736,0.19255863091956105,-0.45845881905331093,-0.17572545834770772,-0.0665552444924176,0.16789318727979935,0.3510035602960002,-0.30382792697030253,0.5674870022786019,0.33149546194554186,-0.6621881054402089,-0.3266862128640666,0.23790934812741654,0.1963976553057673,0.3365620195124362,0.5222890337297356,0.5860347455566483,0.43118205184559866,0.5527067075481721,0.534530513122809,0.384838385770166,0.39798827633645467,0.5635135992640725,0.48189074465206155,0.31423486127805444,0.3991560645306967,0.6734770133082082,0.5119533973506462
sensor_02,0.8901286298625619,1.0,0.9344724293382121,0.6979185608893856,0.7782534599855858,0.7582199253039988,0.7379444870532412,0.28087769027952936,0.8625554808526342,0.7086249572181583,0.7514368440780288,0.7068958955582634,0.5659936106553896,0.03961530243279346,-0.24218258454057875,-0.20079838909030095,-0.20132930516710007,-0.369526831192599,-0.35142334623283505,-0.3689132396337387,-0.16470958337479383,0.32413969245585156,-0.3243215488722576,-0.1682388086382974,0.026479362878602627,0.23329350935910367,0.0888557715343594,-0.31506910989325754,0.7508998480395179,0.4066115659745174,-0.5140595594794329,-0.267790577201761,0.24739170047179285,0.35187280631098544,0.44126749808172305,0.3347690155736612,0.5395572142693605,0.24661763045369517,0.49117661349549496,0.38032325843361575,0.18059078170359233,0.2472027552100567,0.37365964782813743,0.401477542101987,0.2713902589713391,0.31391489861896205,0.6784883368175336,0.45408445024489696
sensor_03,0.9495510731989878,0.9344724293382121,1.0,0.6534557103298478,0.6979294293641899,0.6717223603100138,0.6607710395977888,0.31039039413734365,0.7134169985774833,0.6336342872450764,0.6857777123191833,0.6587792882776892,0.5026851406408123,-0.08627546135048814,-0.29701511740196956,-0.2335565306233348,-0.2439659768331723,-0.43034759154845514,-0.4215597107708513,-0.43441945675822163,-0.19525837204235377,0.23386748351864314,-0.3992366813081233,-0.18833743577674325,-0.026431186670497375,0.20183419649228385,0.2883364898653048,-0.27053816934136243,0.6495235894619246,0.4081226263327331,-0.5697652805842232,-0.237059123000963,0.19102972428516,0.19685071598761136,0.4235551191806695,0.48015554173190395,0.5652487218124054,0.3062150202787368,0.4967773033614447,0.4380256405077122,0.23747847999076274,0.27129102417855117,0.4096170750038388,0.3917178456334038,0.2476542279416506,0.2868729542394822,0.6745158737978224,0.44043774819902387
sensor_04,0.5430164549094483,0.6979185608893856,0.6534557103298478,1.0,0.9174902110815111,0.9365824946460962,0.8468098002334686,0.4862409924985332,0.6939750211508199,0.9497490863673796,0.939528032346603,0.9569403385142085,0.8133502373452145,0.3894587898641308,0.16289553517690203,0.1579293090680685,0.16615283604091807,0.05288104176357983,0.04725881980657502,0.04157143279308163,-0.05028953084529044,0.3547674090323449,0.09952774431785295,-0.06227965812461735,0.08377214297679168,0.33613606791724837,-0.20244381565672873,-0.0880045166590524,0.5305833112207052,0.26912805120844097,0.07146824603580991,0.19542090912678783,-0.2266661908424679,0.2515591120868658,0.5843284420767089,0.27994045115845195,0.6310487090472958,0.20962227087691326,0.5482837475106958,0.37520874032494694,0.06772703784511348,0.12687436604503788,0.16593826318795973,0.062427185485283844,0.0656650917833243,0.15067829140742053,0.5095200767930169,0.14841054322274339
sensor_05,0.5907751913821548,0.7782534599855858,0.6979294293641899,0.9174902110815111,1.0,0.9067857291300007,0.7568324743045407,0.380433186778473,0.7580017235749406,0.9603532412468473,0.9714202138127174,0.942469111270433,0.7837877740929055,0.34517923053134797,-0.01272111855325454,-0.006308125766492325,0.014765875076817906,-0.08156334120826549,-0.08830299211401364,-0.09158805398336804,0.04661676812170415,0.448957244028287,-0.021188568186616196,0.02790571042596874,0.23965561839959168,0.4269034527547333,-0.058514759025430345,-0.008357589474486662,0.6447974840047276,0.3339056036390445,0.04822041287656195,0.1972013782632846,-0.1269502731192382,0.18857932469296157,0.6239643787773592,0.29494621956938893,0.6548041136922179,0.17833430521665167,0.5207758458213104,0.3603581986585113,0.031082931688392476,0.09318374797074248,0.17294361248256643,0.10610710101872017,0.07583679454374517,0.29590768037173887,0.5953842330881839,0.23430642388507555
sensor_06,0.5670423972653611,0.7582199253039988,0.6717223603100138,0.9365824946460962,0.9067857291300007,1.0,0.9322675226373782,0.47537543866708415,0.8556236691158557,0.9391741539790862,0.9194601702110982,0.9047134984416104,0.760458645610746,0.39958002806091114,0.1589441096383757,0.15413712899336973,0.17564424411992866,0.04366224839568315,0.03761219605082597,0.024205805292012616,-0.033434279292047786,0.4101877947376427,0.08498663878030951,-0.02747039850348335,0.10773603235347252,0.2643521400426729,-0.28860629606964316,-0.17198867592140393,0.5441967531994362,0.17525981523845624,-0.022662836877633555,0.03212617405653793,-0.1304221068466688,0.29039496988018326,0.577931629578913,0.08925833997166426,0.6431436758617157,0.212983853879626,0.5333824762081871,0.34671589591978347,0.06626168198516841,0.1361950780342043,0.16751489404870487,0.173342501865946,0.16722123770874459,0.23209897639119398,0.5309895104732463,0.20295043331914348
sensor_07,0.5723806329530163,0.7379444870532412,0.6607710395977888,0.8468098002334686,0.7568324743045407,0.9322675226373782,1.0,0.5879827569465882,0.8662920041958023,0.8036082245311451,0.7720063717475765,0.7885438517478501,0.6424901378860343,0.2886968459479981,0.09371060972689041,0.08529990166237378,0.09412416616929818,0.008399882262036177,0.009764672489076956,-0.006302451174074418,-0.19742684410982425,0.2783836225157233,0.044350556605685494,-0.18254535512868075,-0.05378086260503357,0.12141190756775373,-0.32292945096646725,-0.34307405763433874,0.5324586872573156,0.1885889239270783,-0.1818426361354659,-0.12616276025488876,-0.11846941823202604,0.32499190017357205,0.5511126417174864,0.08146116346596252,0.5538930638143763,0.23143374150131674,0.4931332093310663,0.32487911492424554,0.12001728632335436,0.19345353190919845,0.1472877957616039,0.21623473022233555,0.2525700688335543,0.13333207483340237,0.38513824351429526,0.099889723495903
sensor_08,0.28371248001671945,0.28087769027952936,0.31039039413734365,0.4862409924985332,0.380433186778473,0.47537543866708415,0.5879827569465882,1.0,0.32497674711718216,0.4412377453849594,0.41173985151729736,0.48356570686031897,0.38863628819401924,0.00875671807973838,-0.05899094501402301,-0.0755288752224926,-0.06317927972048416,-0.0242603436643704,-0.07159804092683343,-0.055220981823978436,-0.17622805405228822,-0.0235308843842865,-0.002637701982569716,-0.1910425222982484,-0.09909991875721645,0.1481166882785702,0.032530780639812296,-0.11050864985972851,0.18610394630426616,0.09261084175708381,0.05706532680674725,0.166008162262258,-0.19454526544366177,-0.021201004580601073,0.2707758471935333,0.37641845794349554,0.3569714920073998,0.2255325204378272,0.3317701583976677,0.2997223614445547,0.20300879860691037,0.24474657500798477,0.01466644174811551,0.15714194438320164,0.31962969870131985,-0.05552841950543011,0.05567613826716891,-0.1944414989157556
sensor_09,0.6305287720378264,0.8625554808526342,0.7134169985774833,0.6939750211508199,0.7580017235749406,0.8556236691158557,0.8662920041958023,0.32497674711718216,1.0,0.7250050590527605,0.7301938628190584,0.6804720595922139,0.5727510219925442,0.2698539950002151,-0.02405573278092177,-0.021823654637619906,-0.004445911052483509,-0.11918530323190736,-0.10651091855932207,-0.12658131632360986,-0.12794179799498337,0.37147231988502327,-0.0736848773313901,-0.12275450838447052,0.04354530919223044,0.1185110405975166,-0.2640594200136571,-0.379278567940939,0.6607163816548199,0.22893960826065593,-0.3402849520538797,-0.3004622170221069,0.1463141524692691,0.4010566635127605,0.45596548634159595,-0.03650771495775481,0.45176441956129454,0.11890827792681162,0.3777123706993828,0.2041162788170007,0.025779366691166847,0.11516858003018632,0.15314368842466455,0.30298731116120053,0.2560619135708679,0.2319914726202679,0.4906715809405922,0.2703798416096225
sensor_10,0.527229248335982,0.7086249572181583,0.6336342872450764,0.9497490863673796,0.9603532412468473,0.9391741539790862,0.8036082245311451,0.4412377453849594,0.7250050590527605,1.0,0.9840502790462321,0.9649253674441108,0.8223025674130655,0.3990856543939326,0.1406793525993178,0.13737778342495896,0.16103847474944952,0.05617141038785186,0.04114674458691101,0.03521304139142416,0.02000602635396872,0.4107232835580017,0.10105513219351131,-0.0047647810632996225,0.15574915657240793,0.40040910251428585,-0.1658792400974506,0.00912361723249088,0.5054553670983867,0.1683100590014899,0.11788848331630024,0.23914825101002346,-0.1309325299039197,0.2647595098899062,0.5683900716411973,0.22885776293837853,0.6833360229318062,0.21078584904634476,0.5624423846806914,0.384021951594815,0.05753254877328138,0.11738000467452007,0.1825138273095032,0.12210771475641068,0.09588442321593832,0.2717890664580815,0.602092469107867,0.2449875501112613
